Datetime,open,high,low,close,volume
2026-07-05 00:00:00+00:00,63086.44921875,63086.4609375,62972.3515625,63029.98828125,0
2026-07-05 00:05:00+00:00,63013.73046875,63033.828125,62976.76171875,62979.69921875,0
2026-07-05 00:10:00+00:00,62973.6796875,63003.98828125,62970.73828125,63003.1484375,0
2026-07-05 00:15:00+00:00,62977.01171875,63001.390625,62961.921875,62987.44140625,13064192
2026-07-05 00:20:00+00:00,62987.4296875,62993.671875,62921.3203125,62967.51171875,232767488
2026-07-05 00:25:00+00:00,62967.51953125,62999.98828125,62958.28125,62997.91015625,87848960
2026-07-05 00:30:00+00:00,62992.16015625,63000.0,62946.73046875,62955.03125,0
2026-07-05 00:35:00+00:00,62953.9609375,63052.19140625,62937.98828125,63035.2890625,0
2026-07-05 00:40:00+00:00,63038.44140625,63067.05859375,63022.9609375,63030.48828125,65761280
2026-07-05 00:45:00+00:00,63035.80078125,63050.6796875,62978.9609375,62984.1015625,0
2026-07-05 00:50:00+00:00,62992.1484375,62994.01171875,62955.98828125,62993.01953125,0
2026-07-05 00:55:00+00:00,62986.0,62986.0,62869.2890625,62930.55078125,150165504
2026-07-05 01:00:00+00:00,62932.55859375,62962.48046875,62922.46875,62933.6484375,20531200
2026-07-05 01:05:00+00:00,62927.828125,62988.5390625,62875.48046875,62918.44140625,0
2026-07-05 01:10:00+00:00,62920.0,62962.609375,62918.4296875,62930.87890625,0
2026-07-05 01:15:00+00:00,62930.8984375,62930.91015625,62824.01171875,62824.01171875,617295872
2026-07-05 01:20:00+00:00,62832.0,62850.19921875,62785.0,62791.9609375,0
2026-07-05 01:25:00+00:00,62789.859375,62914.41015625,62789.8515625,62887.4296875,6766592
2026-07-05 01:30:00+00:00,62869.76953125,62869.76953125,62744.609375,62761.1484375,0
2026-07-05 01:35:00+00:00,62760.171875,62810.01953125,62755.58984375,62798.109375,0
2026-07-05 01:40:00+00:00,62796.53125,62825.80859375,62787.640625,62811.48828125,339138560
2026-07-05 01:45:00+00:00,62811.48828125,62852.1015625,62776.55859375,62795.03125,628183040
2026-07-05 01:50:00+00:00,62784.76953125,62848.5,62784.76953125,62835.6484375,0
2026-07-05 01:55:00+00:00,62830.05859375,62844.8203125,62816.5390625,62844.8203125,6205440
2026-07-05 02:00:00+00:00,62829.171875,62865.87890625,62769.01953125,62769.48046875,0
